post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"55bb2fccb35996d0b3b3d6a78732128a";s:8:"username";s:15:"1476955343@u591";}, 2016-10-20 17:22:29
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"e9e636ef4fbab4575ef5bb127bb99e90";s:8:"username";s:41:"71E18361-F0C8-4504-B890-9E55D210426D@u591";}, 2016-10-20 17:23:20
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"0eccaf46f91267670f8215b0bcda136b";s:8:"username";s:17:"14488b0693a1@u591";}, 2016-10-20 18:23:18
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"d35d5724e77f020c85e88bdbaba7bf25";s:8:"username";s:17:"020000000000@u591";}, 2016-10-20 18:24:13
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"bc3d339aea04ae4517eef736abe8f91a";s:8:"username";s:41:"F6A3F120-776B-43EC-8C9B-111042A0D3AB@u591";}, 2016-10-20 19:49:28
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"6bf64fce4d6a9ea5bacc68762881ce11";s:8:"username";s:41:"045C0C5A-FA7D-4154-B55B-9F719483CFD9@u591";}, 2016-10-20 20:14:54
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"c9ca2391438de6c925877afb8cf5d79e";s:8:"username";s:41:"5DD12CAE-EB0D-4F79-A10F-D9FBC439EB96@u591";}, 2016-10-20 20:16:27
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"c9ca2391438de6c925877afb8cf5d79e";s:8:"username";s:41:"5DD12CAE-EB0D-4F79-A10F-D9FBC439EB96@u591";}, 2016-10-20 20:21:24
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"c9ca2391438de6c925877afb8cf5d79e";s:8:"username";s:41:"5DD12CAE-EB0D-4F79-A10F-D9FBC439EB96@u591";}, 2016-10-20 20:23:23
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"c9ca2391438de6c925877afb8cf5d79e";s:8:"username";s:41:"5DD12CAE-EB0D-4F79-A10F-D9FBC439EB96@u591";}, 2016-10-20 20:26:42
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"bc3d339aea04ae4517eef736abe8f91a";s:8:"username";s:41:"F6A3F120-776B-43EC-8C9B-111042A0D3AB@u591";}, 2016-10-20 20:29:31
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"c9ca2391438de6c925877afb8cf5d79e";s:8:"username";s:41:"5DD12CAE-EB0D-4F79-A10F-D9FBC439EB96@u591";}, 2016-10-20 20:31:16
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"c9ca2391438de6c925877afb8cf5d79e";s:8:"username";s:41:"5DD12CAE-EB0D-4F79-A10F-D9FBC439EB96@u591";}, 2016-10-20 20:32:50
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"c9ca2391438de6c925877afb8cf5d79e";s:8:"username";s:41:"5DD12CAE-EB0D-4F79-A10F-D9FBC439EB96@u591";}, 2016-10-20 20:51:38
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"c9ca2391438de6c925877afb8cf5d79e";s:8:"username";s:41:"5DD12CAE-EB0D-4F79-A10F-D9FBC439EB96@u591";}, 2016-10-20 20:52:51
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"c9ca2391438de6c925877afb8cf5d79e";s:8:"username";s:41:"5DD12CAE-EB0D-4F79-A10F-D9FBC439EB96@u591";}, 2016-10-20 21:03:23
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"c9ca2391438de6c925877afb8cf5d79e";s:8:"username";s:41:"5DD12CAE-EB0D-4F79-A10F-D9FBC439EB96@u591";}, 2016-10-20 21:08:19
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"c9ca2391438de6c925877afb8cf5d79e";s:8:"username";s:41:"5DD12CAE-EB0D-4F79-A10F-D9FBC439EB96@u591";}, 2016-10-20 22:05:45
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"c9ca2391438de6c925877afb8cf5d79e";s:8:"username";s:41:"5DD12CAE-EB0D-4F79-A10F-D9FBC439EB96@u591";}, 2016-10-20 22:26:22
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"c9ca2391438de6c925877afb8cf5d79e";s:8:"username";s:41:"5DD12CAE-EB0D-4F79-A10F-D9FBC439EB96@u591";}, 2016-10-20 22:53:14
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"c9ca2391438de6c925877afb8cf5d79e";s:8:"username";s:41:"5DD12CAE-EB0D-4F79-A10F-D9FBC439EB96@u591";}, 2016-10-20 23:10:03
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"c9ca2391438de6c925877afb8cf5d79e";s:8:"username";s:41:"5DD12CAE-EB0D-4F79-A10F-D9FBC439EB96@u591";}, 2016-10-20 23:11:19
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"c9ca2391438de6c925877afb8cf5d79e";s:8:"username";s:41:"5DD12CAE-EB0D-4F79-A10F-D9FBC439EB96@u591";}, 2016-10-20 23:20:42
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b1a7a927384aa8d78566bb68b10ca39";s:8:"username";s:41:"C1722BD6-D5A5-4388-BF83-18361E22022C@u591";}, 2016-10-20 23:54:06
